time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,cidade,estado,regiao,latitude,longitude
2025-02-17,27.1,29.7,24.5,2.3,17.0,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-18,27.2,30.0,24.5,0.7,16.5,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-19,26.8,29.7,23.8,3.2,15.2,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-20,27.5,29.9,25.2,1.7,17.4,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-21,27.8,30.2,25.7,0.5,14.6,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-22,27.3,30.4,24.8,1.8,17.7,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-23,27.3,30.4,24.0,2.2,14.4,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-24,27.9,30.9,25.1,0.8,16.8,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-25,27.1,30.1,23.7,2.5,15.5,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-26,28.0,31.0,25.4,0.6,15.9,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-27,26.4,29.3,24.2,6.9,17.8,Recife,PE,Nordeste,-8.0476,-34.877
2025-02-28,26.3,28.3,24.2,5.8,16.5,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-01,26.7,28.8,24.8,4.4,15.0,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-02,26.4,28.6,24.2,4.4,15.7,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-03,26.2,28.5,24.1,6.0,19.6,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-04,27.2,29.9,24.6,2.6,16.5,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-05,27.6,30.1,25.2,1.0,19.3,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-06,26.8,29.4,24.4,4.8,21.2,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-07,25.8,28.9,23.9,9.3,20.0,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-08,26.4,28.7,24.3,4.0,17.7,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-09,26.6,29.3,24.4,7.1,18.5,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-10,27.1,29.6,25.0,2.8,17.9,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-11,27.2,29.5,25.3,2.2,19.8,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-12,26.8,29.0,25.1,3.4,18.3,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-13,26.8,29.6,24.1,2.6,15.3,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-14,25.9,28.6,24.3,10.9,11.2,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-15,26.2,29.0,23.7,4.8,11.7,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-16,25.8,28.9,23.3,12.9,15.3,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-17,26.3,28.9,23.4,2.7,15.5,Recife,PE,Nordeste,-8.0476,-34.877
2025-03-18,27.1,30.2,23.9,0.6,11.9,Recife,PE,Nordeste,-8.0476,-34.877
